missing_parameter,why_needed,status,sensitivity_coordinate_allowed,range_status,conclusion_prohibited,allowed_treatment,source_of_status,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
accessible numerical doxorubicin semiquinone hyperfine tensor,Defines nuclear-spin-driven electron-spin mixing in the exact radical.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits an exact-system hyperfine Hamiltonian or mixing rate.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter k_doublet_s,Sets doublet-resolved electron-transfer flux.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a quantitative D-channel reaction yield.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter k_quartet_s,Sets quartet-resolved electron-transfer flux.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a quantitative Q-channel reaction yield.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
physical k_quartet_s/k_doublet_s range,Determines reaction selectivity between the two manifolds.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits assigning a preferred manifold or physical selectivity range.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter escape rate,Sets competition between reaction and encounter separation.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a quantitative reaction-versus-escape branching ratio.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter duration,Sets a physical observation endpoint or residence time.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a physical encounter time axis and endpoint.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
semiquinone T1,Defines longitudinal relaxation within the encounter.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits an encounter-specific relaxation rate.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
semiquinone T2/Tm,Defines coherence decay under a physically matched model.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits quantitative dephasing or coherence-lifetime claims.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
exchange coupling,Sets the isotropic electron-electron coupling magnitude.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a quantitative exchange Hamiltonian.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
dipolar coupling and geometry,Sets anisotropic coupling and requires geometry/orientation.,unavailable,"yes, with explicit opt-in",illustrative only; no defensible physical range,Prohibits a quantitative dipolar Hamiltonian and orientation average.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,4e863b04abf00d77462be6bdf33a6b2ad343ab81,485e6c100ae04a17802c8cfb09694c7b6fe9783be2b477e00a0a465bb075e0f8,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
